url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/involved/leadership_council	complete
netreg.ics.uci.edu	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/~sternh	complete
www.ics.uci.edu/employment/employ_faculty.php	complete
www.ics.uci.edu/grad/index	complete
mhcid.ics.uci.edu/admissions/online-information-sessions	complete
www.ics.uci.edu/community/news/view_news?id=1416	complete
www.ics.uci.edu/community/news/view_news?id=1411	complete
www.ics.uci.edu/computing/linux/modules.php	complete
www.ics.uci.edu/community/news/view_news.php?id=1415	incomplete
www.ics.uci.edu/computing/contact/who.php	complete
www.ics.uci.edu/%7Elab/policies	complete
www.ics.uci.edu/about/brenhall/index.php	complete
mhcid.ics.uci.edu	complete
calendar.ics.uci.edu/department/information_computer_sciences/calendar	complete
www.ics.uci.edu/grad/degrees/index	complete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/statistics/grad/index.php	complete
www.ics.uci.edu/~gts	complete
www.ics.uci.edu	complete
www.ics.uci.edu/computing/linux/shell.php	complete
www.ics.uci.edu/computing/linux/gsu.php	complete
www.ics.uci.edu/%7Egts/facts.html	complete
www.ics.uci.edu/computing/linux/sge.php	complete
www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php	complete
swiki.ics.uci.edu/doku.php/announce:announce	complete
www.ics.uci.edu/community/news/view_news?id=1404	complete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse	complete
netreg.ics.uci.edu/index.php?r=request/index&username=Guest	complete
www.ics.uci.edu/employment	complete
www.ics.uci.edu/computing/policy	complete
www.ics.uci.edu/involved	complete
www.ics.uci.edu/ugrad/sao/Course_updates	complete
mhcid.ics.uci.edu/program/events	complete
www.ics.uci.edu/computing/services/microsoft_imagine.php	incomplete
www.ics.uci.edu/grad/policies/index	incomplete
www.ics.uci.edu/about/brenhall	incomplete
calendar.ics.uci.edu/calendar.php	complete
www.ics.uci.edu/ugrad/sao/index	incomplete
www.ics.uci.edu/community/news/view_news?id=1322	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=revisions	incomplete
www.ics.uci.edu/computing/contact/staff.php	complete
ugradforms.ics.uci.edu	complete
www.ics.uci.edu/~sternh/courses/210	incomplete
www.ics.uci.edu/~fowlkes	incomplete
mhcid.ics.uci.edu/people/mentors	incomplete
www.ics.uci.edu/computing/account/faqs.php	incomplete
mhcid.ics.uci.edu/people/mhcid-current-students	incomplete
www.ics.uci.edu/~gts/facts.html	incomplete
www.ics.uci.edu/computing/account/mapdrive_win.php	incomplete
www.ics.uci.edu/%7Egts/stupid.html	incomplete
www.ics.uci.edu/computing/email/thunderbird_Gmail.php	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	incomplete
www.ics.uci.edu/~smyth	incomplete
www.ics.uci.edu/community/news/view_news?id=1434	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing	incomplete
www.ics.uci.edu/computing/account/activate.php	incomplete
www.ics.uci.edu/computing/email/thunderbird_setup.php	incomplete
www.ics.uci.edu/faculty	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=login&sectok=	incomplete
www.ics.uci.edu/grad/funding/index	incomplete
mhcid.ics.uci.edu/people/current-students	incomplete
mhcid.ics.uci.edu/program/events/career-conference	incomplete
www.ics.uci.edu/computing/services/restore.php	incomplete
www.ics.uci.edu/%7Egts/words.html	incomplete
www.ics.uci.edu/~sternh/courses/225	incomplete
sprout.ics.uci.edu	incomplete
www.ics.uci.edu/computing/services/sophos_mac.php	incomplete
www.ics.uci.edu/computing/services/snapshot.php	incomplete
www.ics.uci.edu/computing/linux/hosts.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1429	incomplete
www.ics.uci.edu/about/visit/index.php	incomplete
www.ics.uci.edu/computing/policy/ethics.php	incomplete
mhcid.ics.uci.edu/admissions/costs-and-financial-aid	incomplete
www.ics.uci.edu/computing/account/password.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	incomplete
www.ics.uci.edu/ugrad/sao/SAO_Events.php	incomplete
www.ics.uci.edu/community/news/student_blogs	incomplete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	incomplete
www.ics.uci.edu/about/search/search_graduate_all.php	incomplete
www.ics.uci.edu/grad	incomplete
www.ics.uci.edu/about	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=recent	incomplete
www.ics.uci.edu/computing/email/delivery_point.php	incomplete
www.ics.uci.edu/%7Egts/pats.html	incomplete
mcs.ics.uci.edu	incomplete
www.ics.uci.edu/grad/admissions/index	complete
netreg.ics.uci.edu/index.php?r=site/login	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption	complete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission	complete
www.ics.uci.edu/grad/forms/index	complete
www.ics.uci.edu/involved/corporate_partner	complete
mse.ics.uci.edu	incomplete
www.ics.uci.edu/ugrad/degrees/index.php	complete
swiki.ics.uci.edu/doku.php/announce:announce?do=index	incomplete
www.ics.uci.edu/community/news/press	incomplete
www.ics.uci.edu/ugrad/courses/index	incomplete
jgarcia.ics.uci.edu	incomplete
www.ics.uci.edu/faculty/highlights	incomplete
mcs.ics.uci.edu/prospective-students/application-process	incomplete
www.ics.uci.edu/computing/contact	incomplete
www.ics.uci.edu/grad/courses/index	incomplete
www.ics.uci.edu/about/about_factsfigures.php	incomplete
www.ics.uci.edu/computing	incomplete
www.ics.uci.edu/ugrad/sao	incomplete
www.ics.uci.edu/community/events/competition	incomplete
www.ics.uci.edu/dept	incomplete
www.ics.uci.edu/ugrad/policies	incomplete
www.ics.uci.edu/ugrad/resources/index	incomplete
webmail.ics.uci.edu	incomplete
www.ics.uci.edu/computing/account/quota.php	incomplete
www.ics.uci.edu/%7Egts/pubs.html	incomplete
www.ics.uci.edu/computing/services/sophos_win.php	incomplete
www.ics.uci.edu/community	incomplete
www.ics.uci.edu/%7Egts/students.html	incomplete
mhcid.ics.uci.edu/faq	incomplete
www.ics.uci.edu/computing/account/mapdrive_mac.php	incomplete
www.ics.uci.edu/about/search/index.php	incomplete
www.ics.uci.edu/grad/degrees	incomplete
www.ics.uci.edu/computing/email/group_email.php	incomplete
www.ics.uci.edu/computing/email	incomplete
www.ics.uci.edu/%7elab/lab_schedule	incomplete
support.ics.uci.edu/passwd	incomplete
mhcid.ics.uci.edu/people/industry-advisory-board	incomplete
mhcid.ics.uci.edu/program/capstone-projects	incomplete
www.ics.uci.edu/computing/web/personalpage.php	incomplete
www.ics.uci.edu/~lab	incomplete
www.ics.uci.edu/computing/account/new	complete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
www.ics.uci.edu/computing/policy/ethics_summary.php	incomplete
www.ics.uci.edu/about/annualreport	incomplete
www.ics.uci.edu/ugrad/index	incomplete
mhcid.ics.uci.edu/admissions/admissions-overview	incomplete
www.ics.uci.edu/grad/degrees/degree_cs.php	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Integrity	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1418	incomplete
www.ics.uci.edu/grad/resources	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1412	incomplete
www.ics.uci.edu/~aburtsev	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1410	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1416	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1417	complete
www.ics.uci.edu/grad/admissions	incomplete
www.ics.uci.edu/computing/web/faqs.php	complete
www.ics.uci.edu/~lab/policies	incomplete
www.ics.uci.edu/computing/services/printing.php	incomplete
www.ics.uci.edu/about/visit	incomplete
www.ics.uci.edu/ugrad/policies/index.php	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=media&ns=announce	incomplete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	incomplete
www.ics.uci.edu/%7Egts/contact.html	incomplete
www.ics.uci.edu/~galbraic	incomplete
mhcid.ics.uci.edu/program/about-the-program	incomplete
mhcid.ics.uci.edu/program/curriculum	incomplete
www.ics.uci.edu/faculty/area	complete
www.ics.uci.edu/ugrad/QA_Petitions	complete
www.ics.uci.edu/computing/email/mailboss.php	incomplete
www.ics.uci.edu/computing/email/google_apps.php	incomplete
swiki.ics.uci.edu/feed.php	incomplete
intranet.ics.uci.edu	incomplete
www.ics.uci.edu/%7elab	incomplete
www.ics.uci.edu/grad/forms	incomplete
www.ics.uci.edu/about/about_deanmsg.php	incomplete
www.ics.uci.edu/computing/contact/helpdesk.php	incomplete
www.ics.uci.edu/computing/account/renewal.php	incomplete
www.ics.uci.edu/community/alumni	incomplete
www.ics.uci.edu/about/about_contact.php	incomplete
www.ics.uci.edu/involved/project_class	incomplete
www.ics.uci.edu/computing/account/new.php	incomplete
mhcid.ics.uci.edu/admissions/information-session-2	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1405	incomplete
www.ics.uci.edu/computing/linux/security.php	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/about/visit/index	complete
www.ics.uci.edu/faculty/centers	incomplete
www.ics.uci.edu/ugrad/degrees	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1403	incomplete
www.ics.uci.edu/ICS/ics/community/events/competition	incomplete
www.ics.uci.edu/community/scholarships/index	incomplete
www.ics.uci.edu/community/news	incomplete
www.ics.uci.edu/computing/account	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=backlink	incomplete
swiki.ics.uci.edu/doku.php/start	incomplete
